# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_ProgressProc, Description: Progress Proc, Type: kNkMAIDCapType_Callback, Operations: 6
ID: kNkMAIDCapability_EventProc, Description: Event Proc, Type: kNkMAIDCapType_Callback, Operations: 6
ID: kNkMAIDCapability_IsAlive, Description: Is Alive, Type: kNkMAIDCapType_Boolean, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_Children, Description: Children, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_Name, Description: Name, Type: kNkMAIDCapType_String, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_Interface, Description: Interface, Type: kNkMAIDCapType_String, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_DataTypes, Description: Data Types, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_Capture, Description: Capture, Type: kNkMAIDCapType_Process, Operations: kNkMAIDCapOperation_Start
ID: kNkMAIDCapability_AutoFocus, Description: Auto Focus, Type: kNkMAIDCapType_Process, Operations: 0
ID: kNkMAIDCapability_BatteryLevel, Description: Battery Level, Type: kNkMAIDCapType_Integer, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_FlashMode, Description: Flash Sync Mode, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_AcceptDiskAcquisition, Description: Accept Disk Acquisition, Type: kNkMAIDCapType_Generic, Operations: 6
ID: kNkMAIDCapability_EVInterval, Description: EV Steps for Exposure Control, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_PreCapture, Description: PreCapture, Type: kNkMAIDCapType_Process, Operations: 0
ID: kNkMAIDCapability_LockFocus, Description: Lock Focus, Type: kNkMAIDCapType_Boolean, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_LockExposure, Description: Lock Exposure, Type: kNkMAIDCapType_Boolean, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ExposureStatus, Description: Exposure Status, Type: kNkMAIDCapType_Float, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_CompressionLevel, Description: Compression Level, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_ExposureMode, Description: Exposure Mode, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_ShutterSpeed, Description: Shutter Speed, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_Aperture, Description: Aperture, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_FlexibleProgram, Description: Flexible Program, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ExposureComp, Description: Exposure Comp., Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MeteringMode, Description: Metering Mode, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_Sensitivity, Description: Sensitivity, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_WBMode, Description: White Balance Mode, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_WBTuneAuto, Description: Auto, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTuneIncandescent, Description: Incandescent, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTuneFluorescent, Description: Fluorescent, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTuneSunny, Description: Sunny, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTuneFlash, Description: Flash, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTuneShade, Description: Shade, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBTuneCloudy, Description: Cloudy, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_FocusMode, Description: Focus Mode, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_FocusAreaMode, Description: Focus Area Mode, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_FocusPreferredArea, Description: Focus Preferred Area, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_FocalLength, Description: Focal Length, Type: kNkMAIDCapType_Float, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_ClockDateTime, Description: Date and Time, Type: kNkMAIDCapType_DateTime, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_BracketingOrder, Description: Bracketing Order, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_BracketingVary, Description: Bracketing Vary, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_AFAreaSelector, Description: AF Area Selector, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_AFsPriority, Description: Single AF Area Priority, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_AFcPriority, Description: Continuous AF Area Priority, Type: kNkMAIDCapType_Enum, Operations: 10
ID: kNkMAIDCapability_ApertureDial, Description: Change Aperture Setting via Sub-Command Dial, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_ShootingLimit, Description: Continuous Shooting Limit, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_LockCamera, Description: Lock Camera operation, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_LensInfo, Description: Focal length and Minimum F number, Type: kNkMAIDCapType_String, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_UserComment, Description: User Comment, Type: kNkMAIDCapType_String, Operations: 6
ID: kNkMAIDCapability_WBPresetNumber, Description: White Balance Preset Number, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_SensitivityInterval, Description: Sensitivity Interval, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_ImageSize, Description: Image Size, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_WBGainRed, Description: White Balance Gain Red, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBGainBlue, Description: White Balance Gain Blue, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_IsoControl, Description: ISO Control, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_NoiseReduction, Description: Noise Reduction, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_InternalSplMode, Description: Internal Spl Mode, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_EnableComment, Description: Enable Comment, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_ResetMenuBank, Description: Reset Menu Bank, Type: kNkMAIDCapType_Process, Operations: 0
